,title,length,publish_date,author,url
85,Garhwal Ki Daandi Kaathi Song | Baudi Aawa (Uttranchal Ka Uttrakhandiyo) | New Garhwali Album 2014,388.0,2014-03-11 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=C50Ux0AE-As
86,Naach Padi Meri Fenta Full Song | Manglesh Dangwal New Garhwali Album Songs 2014 | Kedarkhand Aapda,418.0,2014-02-06 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=MeZ6VdhEnqQ
87,Chal Maiga Kouthig Full Song | New Garhwali Album Songs 2014 Manglesh Dangwal | Kedarkhand Aapda,450.0,2014-02-04 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=5e20gnzQVPc
88,"""Minu Raani"" Full Song | New Garhwali Album Songs 2014 Manglesh Dangwal | Kedarkhand Aapda",431.0,2014-02-01 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=UIlYvvq8Hwg
89,Gou Ganga Himaalay (Sanrakshan Sandesh) | Kedarkhand Aapda | Garhwali Album 2014 Manglesh Dangwal,559.0,2014-01-30 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=5ZP_Z73ePDc
90,"""Brahmchaari Chhoun"" Full Song Manglesh Dangwal | Kedarkhand Aapda | Latest Garhwali Album 2014",487.0,2014-01-28 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=en_hZs00aVA
91,"""Oonki Bannt Ma Ujyaalo"" Video Song | Khudeni Na Rayee Garhwali Album | Vinod Sirola Latest Songs",338.0,2014-01-27 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=Jvce8-7Hpjw
92,"""Bamanu Ki Bal"" Video Song | Khudeni Na Rayee Garhwali Album | Vinod Sirola & Anuradha Nirala",501.0,2014-01-22 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=MNy8iCP8FmM
93,Nanda Raaj Jaat (Jagar) | New Garhwali Album Songs 2014 Manglesh Dangwal | Kedarkhand Aapda,591.0,2014-01-21 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=sO_LNd_YOOM
94,"""Gailya Mera Gailya Re"" Full Song (Garhwali) | Manglesh Dangwal, Meena Rana | Kedarkhand Aapda",459.0,2014-01-18 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=qiUNJsarmDE
95,"""Kedarkhand Aapda"" Full Song | New Garhwali Album 2014 Manglesh Dangwal | Kedarkhand Aapda",1264.0,2014-01-18 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=0X7nuvJGYqI
96,"""Jaan Walo Tumhari Na Kwi"" Video Song | Khudeni Na Rayee Garhwali Album | Vinod Sirola Latest Songs",562.0,2014-01-17 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=mKddx5NCjAI
97,"""Khudeni Na Rayee"" Making | Latest Garhwali Album 2014 | Vinod Sirola, Anuradha Nirala",612.0,2014-01-14 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=MykjjpnoeLE
98,Dhaar Por Ka Mandir Video Song | Khudeni Na Rayee Garhwali Album | Vinod Sirola & Anuradha Nirala,470.0,2014-01-12 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=doLmniXHPWQ
99,Ganga Ka Chhaala Full Video Song | Latest Garhwali Album Khudeni Na Rayee | Vinod Sirola,491.0,2013-12-30 00:00:00,T-Series Regional,https://www.youtube.com/watch?v=IZa2fWdElAY
